date	year	month	eR_Market	PRICEDIVIDENDRATIO_level_inv_z	PRICEDIVIDENDRATIO_level_lag_inv_z
1962-02	1962	02	.01790266	-0.254159092736934	-0.223692365859965
1962-03	1962	03	-.00680956	-0.248695264100999	-0.255597969508328
1962-04	1962	04	-.06801693	-0.161565915643785	-0.250133673976431
1962-05	1962	05	-.09024521	0.0470226672783911	-0.162996880128134
1962-06	1962	06	-.08842773	0.413676769613052	0.0456095271391438
1962-07	1962	07	.06074781	0.351315508753956	0.412294960859067
1962-08	1962	08	.02102847	0.28125098207566	0.349928371095489
1962-09	1962	09	-.05349636	0.317038608091934	0.279857857252002
1962-10	1962	10	-.00059862	0.43822995594522	0.315648541398244
1962-11	1962	11	.10299244	0.262166662975336	0.436850245314059
1962-12	1962	12	.01012516	0.163331677324578	0.260771907355376
1963-01	1963	01	.0480061	0.0671905213642099	0.161928476041545
1963-02	1963	02	-.02403185	0.0401072777331085	0.0657791046116704
1963-03	1963	03	.03026663	0.0587467822580946	0.0386935466588827
1963-04	1963	04	.04400496	-0.0428980908741761	0.0573346439698044
1963-05	1963	05	.0174055	-0.0745321185304854	-0.0443189149364965
1963-06	1963	06	-.02015588	-0.0537628284529871	-0.0759556457888197
1963-07	1963	07	-.00389708	-0.0106934252092386	-0.0551845809306087
1963-08	1963	08	.04933627	-0.0778036455029905	-0.0121114973132943
1963-09	1963	09	-.01568029	-0.140032115844344	-0.0792274523203733
1963-10	1963	10	.02501115	-0.119792718704023	-0.141461240218973
1963-11	1963	11	-.00851325	-0.0789263885482742	-0.121220113578435
1963-12	1963	12	.0180826	-0.106624283629235	-0.0803502913064761
1964-01	1964	01	.02208727	-0.164420095472532	-0.108050553232418
1964-02	1964	02	.01534152	-0.176796423644407	-0.165851303852714
1964-03	1964	03	.01395855	-0.203539844215612	-0.178228689608573
1964-04	1964	04	.00109622	-0.221169684370544	-0.204974395462849
1964-05	1964	05	.01396546	-0.227561582806447	-0.222605742125714
1964-06	1964	06	.01258252	-0.195889991166452	-0.228998186763149
1964-07	1964	07	.0171992	-0.263865523064065	-0.197323888717217
1964-08	1964	08	-.01446389	-0.208199840068752	-0.265305229270903
1964-09	1964	09	.02647141	-0.22963236504371	-0.209634789522704
1964-10	1964	10	.0058657	-0.251200176549417	-0.231069145953229
1964-11	1964	11	7.088e-11	-0.248397723800208	-0.25263880047503
1964-12	1964	12	.00029903	-0.186371777802969	-0.249836108250179
1965-01	1965	01	.03478867	-0.232134814360527	-0.187804862001837
1965-02	1965	02	.00437725	-0.233804237576664	-0.233571809109747
1965-03	1965	03	-.01344187	-0.220149241445687	-0.235241374981706
1965-04	1965	04	.03053297	-0.232823333857272	-0.221585212001805
1965-05	1965	05	-.00770582	-0.249751041254544	-0.234260387441971
1965-06	1965	06	-.05636738	-0.110656586759838	-0.251189541348415
1965-07	1965	07	.01415515	-0.0905308134396015	-0.112083200932035
1965-08	1965	08	.02684659	-0.121341983320182	-0.0919557078209837
1965-09	1965	09	.02811272	-0.187655247802399	-0.122769510582603
1965-10	1965	10	.02558943	-0.223694638548901	-0.189088441676551
1965-11	1965	11	-.000299	-0.225747182517576	-0.225130912066862
1965-12	1965	12	.01001645	-0.196616038202202	-0.227183631429854
1966-01	1966	01	.00704822	-0.220678467039777	-0.198049997795255
1966-02	1966	02	-.01223196	-0.186322640714941	-0.222114482819366
1966-03	1966	03	-.02532292	-0.0621281024550279	-0.187755720714938
1966-04	1966	04	.02110324	-0.123900602003515	-0.0635505697633876
1966-05	1966	05	-.05801996	0.032248898027772	-0.125328347905431
1966-06	1966	06	-.01455046	0.0707065664214722	0.0308344954380211
1966-07	1966	07	-.01627522	0.0969494608112295	0.0692954501225798
1966-08	1966	08	-.08205316	0.294190976148817	0.095540587024365
1966-09	1966	09	-.0106139	0.422888379026348	0.292798957075611
1966-10	1966	10	.03770714	0.442821431258726	0.421507357424291
1966-11	1966	11	.01374966	0.28864665306061	0.441442112979051
1966-12	1966	12	.00129398	0.26958053444137	0.287254160213017
1967-01	1967	01	.07802626	0.171535757812982	0.268186412352746
1967-02	1967	02	.0076431	0.0870403085738957	0.170133257586352
1967-03	1967	03	.03897549	0.0332516291040654	0.085630588028562
1967-04	1967	04	.03804302	-0.0121664649667322	0.0318373121998515
1967-05	1967	05	-.0440124	-0.0585926039543511	-0.0135846629452179
1967-06	1967	06	.02375081	-0.0257230454642991	-0.0600147691467249
1967-07	1967	07	.04464244	-0.0643596528599089	-0.0271424018818796
1967-08	1967	08	-.00891209	-0.0990173904028258	-0.0657823108590724
1967-09	1967	09	.03052998	-0.128396284785762	-0.100443009980546
1967-10	1967	10	-.03126361	-0.124442533479757	-0.129824414853486
1967-11	1967	11	.00358067	-0.0426960341753188	-0.125870325690889
1967-12	1967	12	.03004349	-0.114905224645337	-0.0441168409714577
1968-01	1968	01	-.04117481	-0.0992682013996542	-0.116332201872822
1968-02	1968	02	-.03806987	0.0303949956355041	-0.100693842409716
1968-03	1968	03	.00199045	0.0896108727723591	0.0289804346257881
1968-04	1968	04	.08618957	-0.0872439951045536	0.0882013718872904
1968-05	1968	05	.02234675	-0.133561761449428	-0.0886686086202073
1968-06	1968	06	.00684696	-0.188426445095122	-0.134990332918293
1968-07	1968	07	-.02744321	-0.172526000248944	-0.189859704869749
1968-08	1968	08	.01325571	-0.105992565677482	-0.173957901296204
1968-09	1968	09	.03924752	-0.175198961799778	-0.107418781299001
1968-10	1968	10	.00417288	-0.224166149766021	-0.176631091257377
1968-11	1968	11	.05275608	-0.250511655573692	-0.225602463575634
1968-12	1968	12	-.04002159	-0.264935495533836	-0.251950220663701
1969-01	1969	01	-.01251205	-0.151631169564759	-0.266375293172134
1969-02	1969	02	-.05978509	-0.131178323196652	-0.15306128510359
1969-03	1969	03	.02593975	-0.0670582342162613	-0.132606690995569
1969-04	1969	04	.01441858	-0.109875630430947	-0.0684811228150324
1969-05	1969	05	-.00099572	-0.182084352408646	-0.111302177868739
1969-06	1969	06	-.07400848	-0.0378603432930936	-0.18351707023775
1969-07	1969	07	-.07217395	0.0901152223487715	-0.0392807368689983
1969-08	1969	08	.04561051	0.111381242693918	0.0887057645614639
1969-09	1969	09	-.0300638	0.107579214475607	0.109973602133998
1969-10	1969	10	.04897949	0.0813113278357404	0.106171249024161
1969-11	1969	11	-.03843312	0.0645995166777833	0.0799011177366243
1969-12	1969	12	-.02648028	0.219538665023738	0.063187878518295
1970-01	1970	01	-.08383551	0.248002300298938	0.218140266749249
1970-02	1970	02	.04972677	0.355883396393293	0.246606334303583
1970-03	1970	03	-.01059586	0.308479540633396	0.354496649070695
1970-04	1970	04	-.11580737	0.404600287135783	0.307088742548899
1970-05	1970	05	-.07131898	0.805332758125501	0.403217702776759
1970-06	1970	06	-.05928951	0.830456771384923	0.803984417221974
1970-07	1970	07	.06666891	0.828120466128303	0.829110577382614
1970-08	1970	08	.04369461	0.733482495351996	0.826774072483662
1970-09	1970	09	.04073446	0.545925049686407	0.732128014688271
1970-10	1970	10	-.02295711	0.461791531745855	0.5445545418337
1970-11	1970	11	.04467679	0.448762763705849	0.460413834502255
1970-12	1970	12	.0554918	0.234938259240865	0.44738395312587
1971-01	1971	01	.04709041	0.119962214385448	0.233541176894974
1971-02	1971	02	.01395579	0.00821240669383483	0.118555307088099
1971-03	1971	03	.04025553	-0.0665309047297666	0.00679595013396452
1971-04	1971	04	.03092878	-0.154463028479826	-0.0679537482670937
1971-05	1971	05	-.04049383	-0.122804465114211	-0.15589338600712
1971-06	1971	06	-.00099681	-0.0779339499696318	-0.124232117348861
1971-07	1971	07	-.04585622	-0.0620156144912063	-0.0793577679218129
1971-08	1971	08	.03693269	-0.0180271470836534	-0.0634380721872265
1971-09	1971	09	-.00860522	-0.0779779147548153	-0.019445845870089
1971-10	1971	10	-.04503614	-0.027881567455427	-0.0794017364638823
1971-11	1971	11	-.00459358	0.093609035257371	-0.0293011083233756
1971-12	1971	12	.0832182	-0.0886954520273349	0.0921998760239254
1972-01	1972	01	.02442749	-0.191071790964053	-0.0901201895731188
1972-02	1972	02	.02822629	-0.235469947581145	-0.1925052767892
1972-03	1972	03	.00626338	-0.291502007118614	-0.236907227324705
1972-04	1972	04	.00288744	-0.31534067072213	-0.292944074922728
1972-05	1972	05	.01238559	-0.291502007118614	-0.316784775591556
1972-06	1972	06	-.0245281	-0.298051559498912	-0.292944074922728
1972-07	1972	07	-.00800725	-0.277935273108206	-0.299494186976429
1972-08	1972	08	.0319886	-0.356629767767964	-0.279376181605586
1972-09	1972	09	-.0114264	-0.320580412638135	-0.358077400879945
1972-10	1972	10	.00516592	-0.307222512783972	-0.322024965254829
1972-11	1972	11	.04481124	-0.402366423385068	-0.308665923939262
1972-12	1972	12	.00615814	-0.431838439865547	-0.403817964793094
1973-01	1973	01	-.03330436	-0.444034487303166	-0.433292499721061
1973-02	1973	02	-.04940284	-0.358105053933468	-0.445489589337284
1973-03	1973	03	-.01302493	-0.316503804865325	-0.35955281311184
1973-04	1973	04	-.05816545	-0.259587750381846	-0.317948009127077
1973-05	1973	05	-.02968716	-0.177626879713748	-0.261027091043766
1973-06	1973	06	-.01564255	-0.107865695193771	-0.179059216642179
1973-07	1973	07	.04886587	-0.118854042325933	-0.109292070878254
1973-08	1973	08	-.03887916	-0.0568208224266858	-0.12028135698842
1973-09	1973	09	.04610005	-0.0879540661770006	-0.0582428362164998
1973-10	1973	10	-.00858117	-0.158305387681488	-0.0893787403697617
1973-11	1973	11	-.13557917	0.0619148019408759	-0.159736073546678
1973-12	1973	12	.00574657	0.300450381121838	0.0605029343667126
1974-01	1974	01	-.00169079	0.276842811505983	0.299058896928312
1974-02	1974	02	-.00468385	0.377838084699407	0.275449309994625
1974-03	1974	03	-.02834137	0.270858340007446	0.376453213452361
1974-04	1974	04	-.05393489	0.446035952612876	0.269464327110069
1974-05	1974	05	-.04746102	0.560794470465383	0.444656909020997
1974-06	1974	06	-.02853448	0.574927950967657	0.559425233236809
1974-07	1974	07	-.08331685	1.03227084475136	0.57355992147553
1974-08	1974	08	-.09754927	1.22373680681358	1.03094189619767
1974-09	1974	09	-.12426416	1.70990076869912	1.22242421944004
1974-10	1974	10	.14857781	1.63100236560173	1.70862972508657
1974-11	1974	11	-.04589502	1.4976236545346	1.62972457995016
1974-12	1974	12	-.03486082	1.79047756762597	1.49633447138399
1975-01	1975	01	.1274356	1.48115035058016	1.78921340947499
1975-02	1975	02	.05388378	1.11644156562746	1.47985975975012
1975-03	1975	03	.02614657	0.974063980457986	1.11511980964374
1975-04	1975	04	.04125201	0.946875390095388	0.97273005800198
1975-05	1975	05	.05028721	0.744387390343352	0.94553914431559
1975-06	1975	06	.04688663	0.671844951126353	0.743033841526466
1975-07	1975	07	-.06772832	0.668613015902499	0.670485203401295
1975-08	1975	08	-.02877388	0.931075510617419	0.667252992001593
1975-09	1975	09	-.04329945	0.975054687944072	0.929737914703781
1975-10	1975	10	.05145736	0.806122179659866	0.973720850146161
1975-11	1975	11	.02604954	0.739393267283964	0.804773906214115
1975-12	1975	12	-.01605171	0.782407456326433	0.738039291708471
1976-01	1976	01	.11424894	0.496142261000083	0.781057156406334
1976-02	1976	02	.00318408	0.381949385758314	0.494767499100518
1976-03	1976	03	.02294198	0.369683007194629	0.380564865830827
1976-04	1976	04	-.01494886	0.364918219516804	0.36829743907859
1976-05	1976	05	-.01354151	0.404844981582765	0.363532244239362
1976-06	1976	06	.0395347	0.405800454606901	0.403462418133411
1976-07	1976	07	-.01070706	0.359247865669057	0.404417972804781
1976-08	1976	08	-.00559219	0.40948127702647	0.357861405847628
1976-09	1976	09	.02030226	0.369216976350849	0.408099109758579
1976-10	1976	10	-.02449843	0.52997759826063	0.367831368411468
1976-11	1976	11	.00347999	0.606453715234242	0.528605727663742
1976-12	1976	12	.05474848	0.550288094051019	0.605088379686789
1977-01	1977	01	-.04119157	0.615221009576523	0.548917959029879
1977-02	1977	02	-.01952165	0.743936314300686	0.613856423213314
1977-03	1977	03	-.01374213	0.795801660760121	0.742582726938377
1977-04	1977	04	.00139373	0.897038487217997	0.794452505403731
1977-05	1977	05	-.01455192	0.954907831233087	0.895697982767167
1977-06	1977	06	.04584521	0.98287867204936	0.953572271842739
1977-07	1977	07	-.01697254	0.988418465212603	0.981545502827796
1977-08	1977	08	-.01757691	1.11907848440812	0.987085769378335
1977-09	1977	09	-.00269206	1.21871807173282	1.11775695375481
1977-10	1977	10	-.04456485	1.37147137366423	1.21740505549753
1977-11	1977	11	.03902934	1.39815225154257	1.37017141052864
1977-12	1977	12	.00258398	1.46795906671782	1.39685456834564
1978-01	1978	01	-.06167005	1.6705402197439	1.46666734866408
1978-02	1978	02	-.01383203	1.77248700275394	1.66926581268739
