date	year	month	eR_Market
1969-04	1969	04	.01441858
1969-05	1969	05	-.00099572
1969-06	1969	06	-.07400848
1969-07	1969	07	-.07217395
1969-08	1969	08	.04561051
1969-09	1969	09	-.0300638
1969-10	1969	10	.04897949
1969-11	1969	11	-.03843312
1969-12	1969	12	-.02648028
1970-01	1970	01	-.08383551
1970-02	1970	02	.04972677
1970-03	1970	03	-.01059586
1970-04	1970	04	-.11580737
1970-05	1970	05	-.07131898
1970-06	1970	06	-.05928951
1970-07	1970	07	.06666891
1970-08	1970	08	.04369461
1970-09	1970	09	.04073446
1970-10	1970	10	-.02295711
1970-11	1970	11	.04467679
1970-12	1970	12	.0554918
1971-01	1971	01	.04709041
1971-02	1971	02	.01395579
1971-03	1971	03	.04025553
1971-04	1971	04	.03092878
1971-05	1971	05	-.04049383
1971-06	1971	06	-.00099681
1971-07	1971	07	-.04585622
1971-08	1971	08	.03693269
1971-09	1971	09	-.00860522
1971-10	1971	10	-.04503614
1971-11	1971	11	-.00459358
1971-12	1971	12	.0832182
1972-01	1972	01	.02442749
1972-02	1972	02	.02822629
1972-03	1972	03	.00626338
1972-04	1972	04	.00288744
1972-05	1972	05	.01238559
1972-06	1972	06	-.0245281
1972-07	1972	07	-.00800725
1972-08	1972	08	.0319886
1972-09	1972	09	-.0114264
1972-10	1972	10	.00516592
1972-11	1972	11	.04481124
1972-12	1972	12	.00615814
1973-01	1973	01	-.03330436
1973-02	1973	02	-.04940284
1973-03	1973	03	-.01302493
1973-04	1973	04	-.05816545
1973-05	1973	05	-.02968716
1973-06	1973	06	-.01564255
1973-07	1973	07	.04886587
1973-08	1973	08	-.03887916
1973-09	1973	09	.04610005
1973-10	1973	10	-.00858117
1973-11	1973	11	-.13557917
1973-12	1973	12	.00574657
1974-01	1974	01	-.00169079
1974-02	1974	02	-.00468385
1974-03	1974	03	-.02834137
1974-04	1974	04	-.05393489
1974-05	1974	05	-.04746102
1974-06	1974	06	-.02853448
1974-07	1974	07	-.08331685
1974-08	1974	08	-.09754927
1974-09	1974	09	-.12426416
1974-10	1974	10	.14857781
1974-11	1974	11	-.04589502
1974-12	1974	12	-.03486082
1975-01	1975	01	.1274356
1975-02	1975	02	.05388378
1975-03	1975	03	.02614657
1975-04	1975	04	.04125201
1975-05	1975	05	.05028721
1975-06	1975	06	.04688663
1975-07	1975	07	-.06772832
1975-08	1975	08	-.02877388
1975-09	1975	09	-.04329945
1975-10	1975	10	.05145736
1975-11	1975	11	.02604954
1975-12	1975	12	-.01605171
1976-01	1976	01	.11424894
1976-02	1976	02	.00318408
1976-03	1976	03	.02294198
